# floor,spot,licensePlate,owner,vehicleType
1,1,1AB1234,Novak Jan,CAR
1,2,1AB2234,Horak Pavel,CAR
1,4,1AB3234,Svoboda Karel,CAR
1,6,1AB4234,Kral Eva,CAR
1,9,1AB5234,Cerna Lenka,CAR
2,1,2AB1234,Dvorak Tomas,SUV
2,3,2AB2234,Kolar Petra,SUV
2,5,2AB3234,Urban Martin,VAN
2,7,2AB4234,Vesela Hana,CAR
2,11,2AB5234,Krupka Tomas,MOTO
3,2,3AB1234,Andel David,CAR
3,4,3AB2234,Krejci Jana,CAR
3,6,3AB3234,Maly Filip,SUV
3,8,3AB4234,Novotna Zuzana,CAR
3,10,3AB5234,Stepanek Igor,VAN
4,1,4AB1234,Plasil Roman,CAR
4,2,4AB2234,Kasparova Alice,CAR
4,3,4AB3234,Kalina Ondrej,SUV
4,4,4AB4234,Pospisil Marek,CAR
4,7,4AB5234,Slama Vojtech,CAR
4,9,4AB6234,Kubik Daniel,VAN
4,12,4AB7234,Benesova Iva,MOTO
